iter	Logloss
0	0.6874377304
1	0.6807299077
2	0.6747230833
3	0.6682182285
4	0.6594917899
5	0.654341394
6	0.6470845261
7	0.6390306058
8	0.6326505914
9	0.626514109
10	0.6185145969
11	0.6110326082
12	0.6051490184
13	0.597603648
14	0.5912240491
15	0.5854545966
16	0.5813425146
17	0.5749539951
18	0.5699807452
19	0.5640714406
20	0.5594210208
21	0.5534188004
22	0.5479534491
23	0.5428663455
24	0.5375409292
25	0.532628765
26	0.5281748649
27	0.5227826472
28	0.5178745869
29	0.5133342495
30	0.5086490288
31	0.5039512642
32	0.4994069841
33	0.4957175992
34	0.490655495
35	0.4856601061
36	0.4814188238
37	0.4776614468
38	0.4736088273
39	0.4699873032
40	0.4658974555
41	0.4615300923
42	0.4575199676
43	0.4535700758
44	0.4504741876
45	0.4474619803
46	0.443456062
47	0.4399950538
48	0.4357260016
49	0.4321706464
50	0.4290479462
51	0.4266223618
52	0.4229231507
53	0.4197318656
54	0.415511353
55	0.4114753569
56	0.4075867075
57	0.4038675709
58	0.4005210692
59	0.3955011295
60	0.3933600316
61	0.3902821203
62	0.3871259092
63	0.3844216594
64	0.3808609334
65	0.3777108506
66	0.3747087147
67	0.3718349824
68	0.3694718032
69	0.3661419807
70	0.3642901082
71	0.3617446221
72	0.3583531725
73	0.3559632597
74	0.3535998886
75	0.3519365588
76	0.3495368495
77	0.3465850069
78	0.3447566303
79	0.3418858906
80	0.3403857128
81	0.3376505988
82	0.3355233317
83	0.332959127
84	0.3305459207
85	0.3276453475
86	0.3251986066
87	0.3231610799
88	0.3202067652
89	0.3179654221
90	0.3157061613
91	0.3139908526
92	0.3117821113
93	0.3096820646
94	0.306962407
95	0.3051868006
96	0.3032763904
97	0.3012264271
98	0.2987546954
99	0.2970898154
100	0.2952286022
101	0.2936644365
102	0.2918456098
103	0.2899831067
104	0.2885232333
105	0.2873410935
106	0.285164669
107	0.2831856097
108	0.2813074649
109	0.2795933754
110	0.2774390235
111	0.2764001598
112	0.2751384883
113	0.2739377314
